question,answer,explanation
水は0度くらいでこおりはじめる。,true,水は0℃付近で凍ります。
植物は日光と関係なく育つ。,false,植物の成長には日光が関わります。
こん虫の足は6本である。,true,こん虫の足は6本です。
月は自分で光っている。,false,月は太陽の光を反射して見えます。
空気にも重さがある。,true,空気にも重さがあります。
磁石は鉄を引きつけることがある。,true,磁石は鉄を引きつけます。
音はふるえと関係がある。,true,物のふるえで音が出ます。
雲は水と関係がない。,false,雲は細かい水滴や氷の粒です。
ヒトは肺で呼吸する。,true,人は肺で呼吸します。
植物の根は水を吸うはたらきがある。,true,根は水や養分を吸います。
てこでは支点がいらない。,false,てこには支点が必要です。
電気を通しやすいものに金属がある。,true,金属は電気を通しやすいです。
メダカはたまごでは生まれない。,false,メダカは卵を産みます。
太陽は地球のまわりを毎日回っている。,false,地球の自転でそう見えます。
水よう液は目に見えなくても中に物がとけていることがある。,true,砂糖水などがその例です。
