question,answer,explanation
「山」の読み方に『やま』がある。,true,山の読み方に「やま」があります。
「川」の読み方に『うみ』がある。,false,川は「かわ」と読みます。
「花」は『はな』と読むことがある。,true,花は「はな」と読みます。
「空」の読み方に『そら』がある。,true,空は「そら」と読みます。
「犬」は『ねこ』と読む。,false,犬は「いぬ」と読みます。
「学校」の『校』は『こう』と読むことがある。,true,「校」は音読みで「こう」です。
「森」は『もり』と読む。,true,森は「もり」と読みます。
「大人」を『だいじん』と読む。,false,大人は「おとな」と読みます。
「赤」は『あか』と読むことがある。,true,赤は「あか」と読みます。
「雨」の読み方に『あめ』がある。,true,雨は「あめ」と読みます。
「目」は『みみ』と読む。,false,目は「め」と読みます。
「音楽」の『音』は『おん』と読むことがある。,true,音読みで「おん」です。
「白」を『くろ』と読む。,false,白は「しろ」と読みます。
「先生」の『生』は『せい』と読むことがある。,true,先生の「生」は「せい」です。
「竹」は『たけ』と読む。,true,竹は「たけ」と読みます。
