question,answer,explanation
2かける3は6である。,true,2×3=6です。
100より大きい数に99は入る。,false,99は100より小さいです。
春のあとに夏がくる。,true,春の次は夏です。
1メートルは100センチメートルである。,true,1m=100cmです。
時計の長い針は時間をあらわす。,false,長い針は分、短い針は時間です。
たし算の答えを「わ」という。,true,たし算の答えは「わ」です。
かけ算の九九に「2×9=17」がある。,false,2×9=18です。
野菜のトマトは赤いものがある。,true,赤いトマトがあります。
東の反対は西である。,true,東の反対は西です。
水をこおらせると氷になる。,true,水はこおると氷になります。
10を2こ集めると30になる。,false,10を2こで20です。
「聞く」は耳を使う。,true,音や声は耳で聞きます。
かさは晴れの日だけに使う。,false,雨の日にも使います。
図書館では大声でさわいでもよい。,false,図書館ではしずかにします。
7たす8は15である。,true,7+8=15です。
