question,answer,explanation
日本には47の都道府県がある。,true,日本は47都道府県です。
市役所は地域のくらしに関係がある。,true,行政サービスに関わります。
ごみの分別は地域の決まりと関係がある。,true,地域ごとに出し方が定められています。
北海道は日本のいちばん南にある。,false,北海道は北にあります。
地図記号は場所をわかりやすく伝えるために使う。,true,施設や土地利用を表します。
日本は海に囲まれていない。,false,日本は海に囲まれた島国です。
農業は食べ物をつくる仕事のひとつである。,true,米や野菜づくりは農業です。
消防署は火事や救助と関係がある。,true,消防署が対応します。
交番は地域の安全と関係がある。,true,警察の施設です。
選挙は社会と関係がない。,false,政治や社会参加に関わります。
輸入とは外国から物を買うことである。,true,海外から国内へ入れることです。
工場では物をつくることがある。,true,工業製品を生産します。
日本の首都は大阪である。,false,首都は東京です。
川の近くに平野ができることがある。,true,川のはたらきで平野ができます。
地図の方位には北・南・東・西がある。,true,方位の基本です。
