question,answer,explanation
縄文時代はとても古い時代である。,true,縄文時代は日本の古い時代です。
江戸時代のあとに明治時代がきた。,true,江戸の次が明治です。
鎌倉時代は江戸時代のあとである。,false,鎌倉時代は江戸時代より前です。
聖徳太子は日本の歴史で学ぶ人物の一人である。,true,歴史学習でよく登場します。
大仏は歴史の学習と関係がある。,true,奈良時代などと関係します。
明治時代は平成のあとである。,false,明治はずっと前の時代です。
戦国時代には多くの武将が活躍した。,true,各地の大名や武将が争いました。
縄文土器には縄のもようが見られる。,true,縄目の文様が特徴です。
徳川家康は江戸幕府と関係がある。,true,江戸幕府を開きました。
室町時代は奈良時代よりあとである。,true,奈良時代のあとに多くの時代が続きます。
卑弥呼は未来の人物である。,false,古代の人物です。
歴史では年号や出来事の前後関係を考えることがある。,true,順番を整理して学びます。
鎖国は江戸時代と関係がある。,true,江戸時代の対外政策と関係します。
弥生時代より前に江戸時代がある。,false,弥生時代のほうがずっと前です。
明治時代には社会のしくみが大きく変わった。,true,近代化が進みました。
